technology,parameter,value,unit,source,further description,currency_year
syngas store,capital cost,4.21e+2,,,,
syngas wo h2 store,capital cost,3.51e2,,,,
oil store,capital cost,2.33e+1,,,,

pyrolysis main,capital cost,1.33e+5,,,costs will be 1.33e+5 and 5.37e+4 and 2.3e+4
pyrolysis main,marginal cost,0,,,,
pyrolysis main,efficiency-co2,0.1612,,,in the code it already has a negative value efficiency3=- pyrolysis_data.loc['pyrolysis'. 'efficiency co2'])  CO2 atmosphere, 
pyrolysis main,efficiency-syngas,0.44,,,HOT,
pyrolysis main,efficiency-biochar,0.47,,,,
condensator combu,efficiency-conden,1,,,,
condensator combu,efficiency-combu,1,,,,
direct combu syngas,marginal cost,0,,,,
direct combu syngas,capital cost,8.18e+4,,,,
direct combu syngas,efficiency,0.95,,,,
condensator,efficiency-oil,0.4545,,,,
condensator,efficiency-syngas,0.5455,,,,
oil process,efficiency-to-FT,1,,,,
oil process,efficiency-cogen,1,,,,
oil process,efficiency-to-combu,1,,,,
direct combu oil,marginal cost,0,,,,
direct combu oil,capital cost,8.26e+3,,,,
direct combu oil,efficiency,0.96,,,,
FT,marginal cost,0,,,,
FT,capital cost,4.53e+4,,,,
FT,efficiency,0.3896,,,,
oil cogeneration,marginal cost,0,,,,
oil cogeneration,capital cost,4.77e+4,,,,
oil cogeneration,efficiency-elec,0.38,,,,
oil cogeneration,efficiency-heat,0.47,,,,
mpath syngas,efficiency-adso,1,,,,
mpath syngas,efficiency-cogen,1,,,,
mpath syngas,efficiency-combu,1,,,,
direct combu syngas2,marginal cost,0,,,,
direct combu syngas2,capital cost,8.18e+4,,,,
direct combu syngas2,efficiency,0.95,,,,
adsorbtion,marginal cost,0,,,,
adsorbtion,capital cost,6.4e+3,,,,
adsorbtion,efficiency-h2,0.2076,,,,
adsorbtion,efficiency-syngas-wo-h2,0.792,,,,
syngas wo h2,efficiency-cogen,1,,,,
syngas wo h2,efficiency-heat,1,,,,
direct combu syngas woh2,marginal cost,0,,,,
direct combu syngas woh2,capital cost,8.36e+3,,,,
direct combu syngas woh2,efficiency,0.95,,,,
syngas wo h2 cogen,marginal cost,0,,,,
syngas wo h2 cogen,capital cost,2.95e+4,,,,
syngas wo h2 cogen,efficiency-elec,0.38,,,,
syngas wo h2 cogen,efficiency-heat,0.43,,,,
syngas cogen,marginal cost,0,,,,
syngas cogen,capital cost,1.52e+4,,,,
syngas cogen,efficiency-elec,0.29,,,,
syngas cogen,efficiency-heat,0.57,,,,



flash-pyrolysis,capital cost,1.6e+5,,,,
flash-pyrolysis,marginal cost,0,,,,
flash-pyrolysis,efficiency-oil,0.404155,,,,
flash-pyrolysis,efficiency-co2,0.05555,,,in the code it already has a negative value efficiency3=- pyrolysis_data.loc['pyrolysis'. 'efficiency co2'])  CO2 atmosphere, 
flash-pyrolysis,efficiency-biochar,0.19599,,,,

slow-pyrolysis-CHP,capital cost,9.0e+4,,, 3.9e+6 is OGmin. from my paper 150€/kW (in pypsa should be €/MW,
slow-pyrolysis-CHP,marginal cost,0,,,,
slow-pyrolysis-CHP,efficiency-elec,0.1933,,,,
slow-pyrolysis-CHP,efficiency-heat,0.34,,,, 
slow-pyrolysis-CHP,efficiency-biochar,0.587,,,
slow-pyrolysis-CHP,efficiency-co2,0.1658,,,,

slow-pyrolysis-H2,capital cost,1.0e+5,,, 3.65e+6 is OG min. from my paper 150€/kW (in pypsa should be €/MW,
slow-pyrolysis-H2,marginal cost,0,,,,
slow-pyrolysis-H2,efficiency-H2,0.13078,,,,
slow-pyrolysis-H2,efficiency-biochar,0.597,,,,
slow-pyrolysis-H2,efficiency-co2,0.1658,,,,
slow-pyrolysis-H2,efficiency-elec,0.137,,,,
slow-pyrolysis-H2,efficiency-heat,0.2692,,,,
